"","Diagnostic","morphological_parameter","clinical_test","Correlation","pvalue","eff.size","ROI","Age_correction","pval.adj"
"59","MCI","K","AB1-42",0.43,0.02099,0.95,"Hemisphere","yes",0.04198
"60","MCI","K","COGNITIVE_INDEX",0.17,0.1588,0.35,"Hemisphere","yes",0.3176
"61","MCI","K","DIGIT SPAN BACK",0.075,0.5245,0.15,"Hemisphere","yes",1
"62","MCI","K","Lipoxina",0.12,0.5587,0.24,"Hemisphere","yes",1
"63","MCI","K","TAU",-0.00053,0.9979,0,"Hemisphere","yes",1
"64","MCI","K","TAU_AB1_42_ratio",-0.21,0.2787,-0.43,"Hemisphere","yes",0.5574
"65","MCI","K","TAU_AB1_ratio",-0.18,0.3517,-0.37,"Hemisphere","yes",0.7034
"66","MCI","K","TMT B-A",-0.029,0.8032,-0.06,"Hemisphere","yes",1
"67","MCI","logAvgThickness","A7/A5",0.25,0.03184,0.52,"Hemisphere","no",0.12736
"68","MCI","logAvgThickness","AB1_ratio",0.045,0.8188,0.09,"Hemisphere","no",1
"69","MCI","logAvgThickness","AB1-40",-0.27,0.1716,-0.56,"Hemisphere","no",0.3432
"70","MCI","logAvgThickness","AB1-42",0.087,0.6585,0.17,"Hemisphere","no",1
"71","MCI","logAvgThickness","COGNITIVE_INDEX",0.085,0.4802,0.17,"Hemisphere","no",0.9604
"72","MCI","logAvgThickness","DIGIT SPAN BACK",-0.082,0.4857,-0.16,"Hemisphere","no",1
"73","MCI","logAvgThickness","Lipoxina",0.2,0.3185,0.41,"Hemisphere","no",0.637
"74","MCI","logAvgThickness","TAU",-0.46,0.01372,-1,"Hemisphere","no",0.02744
"75","MCI","logAvgThickness","TAU_AB1_42_ratio",-0.23,0.245,-0.47,"Hemisphere","no",0.49
"76","MCI","logAvgThickness","TAU_AB1_ratio",-0.39,0.0408,-0.85,"Hemisphere","no",0.0816
"77","MCI","logAvgThickness","TMT B-A",0.046,0.6999,0.09,"Hemisphere","no",1
"78","MCI","logAvgThickness","A7/A5",0.21,0.06915,0.43,"Hemisphere","yes",0.2766
"79","MCI","logAvgThickness","AB1_ratio",-0.038,0.8468,-0.08,"Hemisphere","yes",1
"80","MCI","logAvgThickness","AB1-40",-0.12,0.543,-0.24,"Hemisphere","yes",1
"81","MCI","logAvgThickness","AB1-42",0.13,0.5142,0.26,"Hemisphere","yes",1
"82","MCI","logAvgThickness","COGNITIVE_INDEX",-0.0082,0.9456,-0.02,"Hemisphere","yes",1
"83","MCI","logAvgThickness","DIGIT SPAN BACK",-0.11,0.3515,-0.22,"Hemisphere","yes",1
"84","MCI","logAvgThickness","Lipoxina",0.18,0.349,0.37,"Hemisphere","yes",0.698
"85","MCI","logAvgThickness","TAU",-0.31,0.1106,-0.65,"Hemisphere","yes",0.2212
"86","MCI","logAvgThickness","TAU_AB1_42_ratio",-0.12,0.5412,-0.24,"Hemisphere","yes",1
"87","MCI","logAvgThickness","TAU_AB1_ratio",-0.25,0.1959,-0.52,"Hemisphere","yes",0.3918
"88","MCI","logAvgThickness","TMT B-A",0.18,0.1248,0.37,"Hemisphere","yes",0.4992
"89","CTL","K","A7/A5",0.078,0.334,0.16,"Hemisphere","no",1
"90","CTL","K","AB1_ratio",0.088,0.5093,0.18,"Hemisphere","no",1
"91","CTL","K","AB1-40",-0.2,0.1384,-0.41,"Hemisphere","no",0.2768
"92","CTL","K","AB1-42",-0.059,0.6611,-0.12,"Hemisphere","no",1
"93","CTL","K","COGNITIVE_INDEX",0.13,0.09653,0.26,"Hemisphere","no",0.19306
"94","CTL","K","DIGIT SPAN BACK",0.15,0.05448,0.3,"Hemisphere","no",0.21792
"95","CTL","K","Lipoxina",-0.17,0.2217,-0.35,"Hemisphere","no",0.4434
"96","CTL","K","TAU",-0.26,0.04791,-0.54,"Hemisphere","no",0.09582
"97","CTL","K","TAU_AB1_42_ratio",-0.098,0.4642,-0.2,"Hemisphere","no",0.9284
"98","CTL","K","TAU_AB1_ratio",-0.13,0.32,-0.26,"Hemisphere","no",0.64
"99","CTL","K","TMT B-A",-0.025,0.7591,-0.05,"Hemisphere","no",1
"100","CTL","K","A7/A5",-0.018,0.8254,-0.04,"Hemisphere","yes",1
"101","CTL","K","AB1_ratio",0.095,0.4802,0.19,"Hemisphere","yes",0.9604
"102","CTL","K","AB1-40",-0.19,0.1583,-0.39,"Hemisphere","yes",0.3166
"103","CTL","K","AB1-42",-0.068,0.6126,-0.14,"Hemisphere","yes",1
"104","CTL","K","COGNITIVE_INDEX",0.065,0.4204,0.13,"Hemisphere","yes",0.8408
