"","Sample","ROI","c"
"157","IDOR","T",3.72211202311533
"158","IDOR","T",3.93118345236451
"159","IDOR","O",3.40479495712476
"160","IDOR","O",3.02674027843175
"161","IDOR","hemisphere",NA
"162","IDOR","hemisphere",NA
"163","IDOR","F",1.97203983128454
"164","IDOR","F",1.95991354119848
"165","IDOR","P",4.26091274078131
"166","IDOR","P",4.02003646642185
"167","IDOR","T",3.33136502779524
"168","IDOR","T",3.37416212297201
"169","IDOR","O",3.92149665178695
"170","IDOR","O",3.34792662994815
"171","IDOR","hemisphere",NA
"172","IDOR","hemisphere",NA
"173","IDOR","F",1.96439926092324
"174","IDOR","F",2.01423007356913
"175","IDOR","P",4.32446003210147
"176","IDOR","P",4.02793097768913
"177","IDOR","T",3.13750492734591
"178","IDOR","T",3.22060511828762
"179","IDOR","O",3.54513913089787
"180","IDOR","O",3.70761107006779
"181","IDOR","hemisphere",NA
"182","IDOR","hemisphere",NA
"183","IDOR","F",1.90461735407767
"184","IDOR","F",1.79956095045478
"185","IDOR","P",5.63826435888696
"186","IDOR","P",5.27291453630692
"187","IDOR","T",3.21951318039352
"188","IDOR","T",3.49740605585729
"189","IDOR","O",3.49100064779462
"190","IDOR","O",3.93457364282949
"191","IDOR","hemisphere",NA
"192","IDOR","hemisphere",NA
"193","IDOR","F",1.90023113995527
"194","IDOR","F",1.83830896138738
"195","IDOR","P",5.22838178273349
"196","IDOR","P",4.70894841802304
"197","IDOR","T",3.68129360496303
"198","IDOR","T",3.99521812591276
"199","IDOR","O",3.07420288513014
"200","IDOR","O",3.16751382536371
"201","IDOR","hemisphere",NA
"202","IDOR","hemisphere",NA
"203","IDOR","F",1.90021680366178
"204","IDOR","P",4.29825539530901
"205","IDOR","T",3.8722836955232
"206","IDOR","O",3.17080372767061
"207","IDOR","hemisphere",NA
"208","IDOR","hemisphere",NA
"209","IDOR","F",2.13230807128889
"210","IDOR","F",2.09244599605142
"211","IDOR","P",3.9675050404366
"212","IDOR","P",4.71381552137258
"213","IDOR","T",3.5505101918651
"214","IDOR","T",3.39579853142209
"215","IDOR","O",3.88638578786718
"216","IDOR","O",3.32178082323214
"217","IDOR","hemisphere",NA
"218","IDOR","hemisphere",NA
"219","IDOR","F",2.18273072109635
"220","IDOR","F",2.07506714804799
"221","IDOR","P",4.16474846957218
"222","IDOR","P",4.77372334955284
"223","IDOR","T",3.44108101391201
"224","IDOR","T",3.4336321432931
"225","IDOR","O",3.35041862279543
"226","IDOR","O",3.46182480734069
"227","IDOR","hemisphere",NA
"228","IDOR","hemisphere",NA
"229","IDOR","F",2.10265036883825
"230","IDOR","F",2.07127740426391
"231","IDOR","P",3.73227059136409
"232","IDOR","P",4.32436713069956
"233","IDOR","T",3.59007073045624
"234","IDOR","T",3.45531976406689
"235","IDOR","O",3.47206525780399
"236","IDOR","O",3.28301849336264
"237","IDOR","hemisphere",NA
"238","IDOR","hemisphere",NA
"239","IDOR","F",1.96859190232323
"240","IDOR","F",1.97943500826109
"241","IDOR","P",3.91021855305575
"242","IDOR","P",3.83765505844152
"243","IDOR","T",3.49152692248412
"244","IDOR","T",3.65862239376805
