rh.aparc.area	bankssts	caudalanteriorcingulate	caudalmiddlefrontal	cuneus	entorhinal	fusiform	inferiorparietal	inferiortemporal	isthmuscingulate	lateraloccipital	lateralorbitofrontal	lingual	medialorbitofrontal	middletemporal	parahippocampal	paracentral	parsopercularis	parsorbitalis	parstriangularis	pericalcarine	postcentral	posteriorcingulate	precentral	precuneus	rostralanteriorcingulate	rostralmiddlefrontal	superiorfrontal	superiorparietal	superiortemporal	supramarginal	frontalpole	temporalpole	transversetemporal	insula	WhiteSurfArea	BrainSegVolNotVent	eTIV
SUBJ006/SUBJ006_ses-1	750.0	664.0	1412.0	1537.0	306.0	2835.0	4488.0	2645.0	811.0	4570.0	2318.0	2544.0	1653.0	2678.0	497.0	1349.0	1216.0	820.0	1455.0	1632.0	3182.0	1028.0	4034.0	3040.0	448.0	6275.0	5932.0	4965.0	3207.0	2911.0	327.0	423.0	307.0	2506.0	74661.3	919636.0	1412491.45507
SUBJ006/SUBJ006_ses-1.long.SUBJ006_tmpl	763.0	655.0	1428.0	1514.0	281.0	2827.0	4467.0	2539.0	773.0	4472.0	2245.0	2493.0	1628.0	2670.0	498.0	1342.0	1190.0	857.0	1447.0	1631.0	3156.0	1009.0	4030.0	3039.0	452.0	6214.0	5959.0	4915.0	3214.0	2925.0	313.0	415.0	308.0	2402.0	74070.7	910088.0	1412416.00938
SUBJ007/SUBJ007_ses-1	904.0	894.0	2740.0	1456.0	434.0	2908.0	4804.0	3191.0	913.0	4067.0	2471.0	3270.0	1879.0	3485.0	604.0	1747.0	1525.0	775.0	1241.0	1658.0	3626.0	1272.0	5221.0	4507.0	663.0	6107.0	7293.0	5334.0	3588.0	3435.0	251.0	451.0	344.0	2864.0	85902.2	1078690.0	1639139.6315
SUBJ007/SUBJ007_ses-1.long.SUBJ007_tmpl	910.0	842.0	2751.0	1425.0	397.0	2918.0	4842.0	3148.0	992.0	4005.0	2445.0	3173.0	1864.0	3404.0	593.0	1745.0	1541.0	763.0	1270.0	1700.0	3692.0	1298.0	5101.0	4559.0	691.0	5917.0	7194.0	5332.0	3582.0	3404.0	273.0	434.0	306.0	2684.0	85196.0	1070390.0	1631450.71504
SUBJ007/SUBJ007_ses-2	935.0	903.0	2771.0	1394.0	466.0	2855.0	5025.0	3262.0	959.0	4095.0	2588.0	3127.0	1978.0	3453.0	583.0	1777.0	1499.0	740.0	1235.0	1683.0	3755.0	1265.0	5167.0	4541.0	617.0	6018.0	7097.0	5429.0	3603.0	3556.0	258.0	462.0	322.0	2593.0	86009.9	1050219.0	1632982.33051
SUBJ007/SUBJ007_ses-2.long.SUBJ007_tmpl	891.0	840.0	2692.0	1439.0	412.0	2846.0	4850.0	3131.0	998.0	4037.0	2512.0	3140.0	1881.0	3363.0	587.0	1753.0	1495.0	754.0	1231.0	1694.0	3704.0	1272.0	5025.0	4560.0	682.0	5868.0	7070.0	5376.0	3535.0	3394.0	263.0	428.0	294.0	2659.0	84677.3	1035538.0	1631450.71504
SUBJ010/SUBJ010_ses-1	855.0	728.0	1907.0	1804.0	380.0	2441.0	4808.0	2837.0	981.0	4437.0	2817.0	3184.0	1732.0	3395.0	625.0	1453.0	1243.0	1026.0	1851.0	1850.0	3667.0	1057.0	4771.0	3382.0	553.0	5647.0	6190.0	4941.0	3463.0	3374.0	272.0	555.0	356.0	2272.0	80842.6	1067218.0	1521711.5364
SUBJ010/SUBJ010_ses-1.long.SUBJ010_tmpl	840.0	691.0	1862.0	1757.0	335.0	2420.0	4622.0	2846.0	988.0	4315.0	2535.0	3166.0	1769.0	3414.0	603.0	1394.0	1234.0	987.0	1892.0	1886.0	3623.0	1058.0	4603.0	3384.0	559.0	5574.0	6107.0	4906.0	3379.0	3360.0	301.0	466.0	352.0	2212.0	79442.0	1051701.0	1510859.36526
SUBJ010/SUBJ010_ses-2	876.0	735.0	2062.0	1727.0	379.0	2399.0	4710.0	2830.0	937.0	4645.0	2652.0	3195.0	1657.0	3437.0	603.0	1506.0	1215.0	952.0	1849.0	1853.0	3763.0	1010.0	5205.0	3328.0	560.0	5681.0	6359.0	5097.0	3445.0	3362.0	289.0	472.0	317.0	2198.0	81298.4	1048432.0	1514511.40079
SUBJ010/SUBJ010_ses-2.long.SUBJ010_tmpl	846.0	651.0	1897.0	1730.0	324.0	2369.0	4684.0	2805.0	919.0	4442.0	2552.0	3062.0	1675.0	3367.0	585.0	1438.0	1211.0	951.0	1857.0	1849.0	3721.0	1000.0	4916.0	3288.0	534.0	5524.0	6066.0	5043.0	3340.0	3369.0	283.0	445.0	315.0	2198.0	79257.2	1032190.0	1510859.36526
